respondent_id,treatment,group,treat_market,treat_incentive,treatment_1,treatment_2,treatment_3,party_id_7pt,party_code,is_republican,age,education,bachelors_or_higher,bachelors_or_higher_missing,gender,male,occupation_field,employment_status,fulltime_or_business_owner,fulltime_or_business_owner_missing,hispanic,household_income,household_income_midpoint_imputed,household_income_prefer_not_say,race,race_white,race_black,prior_awareness,prior_awareness_missing,prior_participation,prior_participation_missing,attention_check,Flag_Dropped_Before_Post,Flag_Failed_Attention,Flag_Speeder,Flag_StraightLiner,Flag_Age_OutOfRange,Flag_Resolved_Workforce_Market,Flag_Event2_Excluded_Missing_Market,f_pre_E1,f_E1,m_E1,included_E1,dev_E1,abs_market_dist_E1,pre_included_E1,pre_dev_E1,pre_abs_market_dist_E1,market_movement_E1,f_pre_E2,f_E2,m_E2,included_E2,dev_E2,abs_market_dist_E2,pre_included_E2,pre_dev_E2,pre_abs_market_dist_E2,market_movement_E2,f_pre_E3,f_E3,m_E3,included_E3,dev_E3,abs_market_dist_E3,pre_included_E3,pre_dev_E3,pre_abs_market_dist_E3,market_movement_E3,f_pre_E4,f_E4,m_E4,included_E4,dev_E4,abs_market_dist_E4,pre_included_E4,pre_dev_E4,pre_abs_market_dist_E4,market_movement_E4,dev_mean,n_dev_events,abs_market_dist_mean,n_abs_market_dist_events,pre_dev_mean,n_pre_dev_events,pre_abs_market_dist_mean,n_pre_abs_market_dist_events,market_movement_mean,n_market_movement_events,pre_dev_mean_imputed,Flag_Control_Market_Imputed_E1,Flag_Control_Market_Imputed_E2,Flag_Control_Market_Imputed_E3,Flag_Control_Market_Imputed_E4
1,1,information_only,1,0,1,0,0,1.0,-1,0,27.0,associate_degree,0,0,man,1,government_and_public_administration,full_time,1,0,0,$40_000_$49_999,45000.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.74,0.35,0.655,1,-0.30500000000000005,0.30500000000000005,1,0.08499999999999996,0.08499999999999996,-0.22000000000000008,0.38,0.6,0.5,1,0.09999999999999998,0.09999999999999998,1,-0.12,0.12,0.020000000000000018,0.26,0.29,0.565,1,-0.27499999999999997,0.27499999999999997,1,-0.30499999999999994,0.30499999999999994,0.02999999999999997,0.41,0.68,0.9015,1,-0.22149999999999992,0.22149999999999992,1,-0.4915,0.4915,0.2700000000000001,-0.175375,4,0.22537499999999996,4,-0.20787499999999998,4,0.25037499999999996,4,0.024999999999999994,4,0,0,0,0,0
2,2,accuracy_incentive,1,1,0,1,0,2.0,-1,0,29.0,bachelors_degree,1,0,woman,0,other,full_time,1,0,0,$125_000_$149_999,137500.0,0,white,1,0,1.0,0,1.0,0,64.0,0,0,0,0,0,0,0,0.75,0.6,0.655,1,-0.05500000000000005,0.05500000000000005,1,0.09499999999999997,0.09499999999999997,0.039999999999999925,0.33,0.56,0.5,1,0.06000000000000005,0.06000000000000005,1,-0.16999999999999998,0.16999999999999998,0.10999999999999993,0.21,0.64,0.565,1,0.07500000000000007,0.07500000000000007,1,-0.355,0.355,0.2799999999999999,0.39,0.81,0.9015,1,-0.09149999999999991,0.09149999999999991,1,-0.5115,0.5115,0.42000000000000004,-0.002874999999999961,4,0.07037500000000002,4,-0.235375,4,0.282875,4,0.21249999999999997,4,0,0,0,0,0
3,1,information_only,1,0,1,0,0,5.0,1,1,32.0,bachelors_degree,1,0,woman,0,information_technology,full_time,1,0,0,$90_000_$99_999,95000.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.32,0.64,0.655,1,-0.015000000000000013,0.015000000000000013,1,-0.335,0.335,0.32,0.0,0.0,0.5,1,-0.5,0.5,1,-0.5,0.5,0.0,0.34,0.59,0.565,1,0.025000000000000022,0.025000000000000022,1,-0.22499999999999992,0.22499999999999992,0.1999999999999999,0.6,0.93,0.9015,1,0.02850000000000008,0.02850000000000008,1,-0.3015,0.3015,0.2729999999999999,-0.11537499999999998,4,0.14212500000000003,4,-0.340375,4,0.340375,4,0.19824999999999995,4,0,0,0,0,0
4,0,control,0,0,0,0,0,1.0,-1,0,40.0,associate_degree,0,0,non_binary,0,education_and_training,part_time,0,0,0,$20_000_$29_999,25000.0,0,japanese,0,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.84,0.82,0.655,1,0.16499999999999992,0.16499999999999992,1,0.18499999999999994,0.18499999999999994,0.020000000000000018,0.01,0.03,0.5,1,-0.47,0.47,1,-0.49,0.49,0.020000000000000018,0.46,0.46,0.565,1,-0.10499999999999993,0.10499999999999993,1,-0.10499999999999993,0.10499999999999993,0.0,0.96,0.95,0.9015,1,0.04849999999999999,0.04849999999999999,1,0.058499999999999996,0.058499999999999996,0.010000000000000009,-0.090375,4,0.19712499999999994,4,-0.087875,4,0.20962499999999995,4,0.012500000000000011,4,0,0,0,0,0
5,1,information_only,1,0,1,0,0,2.0,-1,0,34.0,associate_degree,0,0,man,1,medicine,unemployed,0,0,0,$125_000_$149_999,137500.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.2,0.65,0.655,1,-0.0050000000000000044,0.0050000000000000044,1,-0.455,0.455,0.45,0.34,0.5,0.5,1,0.0,0.0,1,-0.15999999999999998,0.15999999999999998,0.15999999999999998,0.34,0.57,0.565,1,0.0050000000000000044,0.0050000000000000044,1,-0.22499999999999992,0.22499999999999992,0.21999999999999992,0.31,0.91,0.9015,1,0.008500000000000063,0.008500000000000063,1,-0.5914999999999999,0.5914999999999999,0.5829999999999999,0.0021250000000000158,4,0.004625000000000018,4,-0.35787499999999994,4,0.35787499999999994,4,0.35324999999999995,4,0,0,0,0,0
6,2,accuracy_incentive,1,1,0,1,0,1.0,-1,0,55.0,bachelors_degree,1,0,woman,0,retired,retired,0,0,0,$80_000_$89_999,85000.0,0,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.2,0.2,0.655,1,-0.455,0.455,1,-0.455,0.455,0.0,0.0,0.0,0.5,1,-0.5,0.5,1,-0.5,0.5,0.0,0.45,0.4,0.565,1,-0.16499999999999992,0.16499999999999992,1,-0.11499999999999994,0.11499999999999994,-0.04999999999999999,0.1,0.1,0.9015,1,-0.8015,0.8015,1,-0.8015,0.8015,0.0,-0.480375,4,0.480375,4,-0.46787500000000004,4,0.46787500000000004,4,-0.012499999999999997,4,0,0,0,0,0
7,0,control,0,0,0,0,0,5.0,1,1,33.0,bachelors_degree,1,0,man,1,information_technology,unemployed,0,0,0,$30_000_$39_999,35000.0,0,white,1,0,1.0,0,1.0,0,64.0,0,0,0,0,0,0,0,0.04,0.03,0.655,1,-0.625,0.625,1,-0.615,0.615,-0.010000000000000009,0.05,0.04,0.5,1,-0.46,0.46,1,-0.45,0.45,-0.010000000000000009,0.7,0.7,0.565,1,0.135,0.135,1,0.135,0.135,0.0,0.0,0.03,0.9015,1,-0.8714999999999999,0.8714999999999999,1,-0.9015,0.9015,0.030000000000000027,-0.455375,4,0.522875,4,-0.457875,4,0.5253749999999999,4,0.0025000000000000022,4,0,0,0,0,0
8,0,control,0,0,0,0,0,2.0,-1,0,33.0,associate_degree,0,0,man,1,,,0,1,0,,65000.0,1,white,1,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.5,0.5,0.655,1,-0.15500000000000003,0.15500000000000003,1,-0.15500000000000003,0.15500000000000003,0.0,0.5,0.5,0.5,1,0.0,0.0,1,0.0,0.0,0.0,0.35,0.3,0.565,1,-0.26499999999999996,0.26499999999999996,1,-0.21499999999999997,0.21499999999999997,-0.04999999999999999,0.5,0.5,0.9015,1,-0.40149999999999997,0.40149999999999997,1,-0.40149999999999997,0.40149999999999997,0.0,-0.20537499999999997,4,0.20537499999999997,4,-0.192875,4,0.192875,4,-0.012499999999999997,4,0,0,0,0,0
9,2,accuracy_incentive,1,1,0,1,0,1.0,-1,0,39.0,bachelors_degree,1,0,woman,0,finance,full_time,1,0,0,$175_000_$199_999,187500.0,0,filipino,0,0,1.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.72,0.55,0.655,1,-0.10499999999999998,0.10499999999999998,1,0.06499999999999995,0.06499999999999995,-0.040000000000000036,0.34,0.4,0.5,1,-0.09999999999999998,0.09999999999999998,1,-0.15999999999999998,0.15999999999999998,0.06,0.1,0.46,0.565,1,-0.10499999999999993,0.10499999999999993,1,-0.46499999999999997,0.46499999999999997,0.36000000000000004,0.15,0.8,0.9015,1,-0.10149999999999992,0.10149999999999992,1,-0.7515,0.7515,0.65,-0.10287499999999995,4,0.10287499999999995,4,-0.327875,4,0.360375,4,0.2575,4,0,0,0,0,0
10,3,betting_frame,1,1,0,0,1,6.0,1,1,61.0,bachelors_degree,1,0,woman,0,manufacturing,full_time,1,0,0,$100_000_$124_999,112500.0,0,white,1,0,0.0,0,0.0,0,64.0,0,0,0,0,0,0,0,0.22,0.41,0.655,1,-0.24500000000000005,0.24500000000000005,1,-0.43500000000000005,0.43500000000000005,0.19,0.7,0.58,0.5,1,0.07999999999999996,0.07999999999999996,1,0.19999999999999996,0.19999999999999996,0.12,0.44,0.4,0.565,1,-0.16499999999999992,0.16499999999999992,1,-0.12499999999999994,0.12499999999999994,-0.03999999999999998,0.36,0.79,0.9015,1,-0.11149999999999993,0.11149999999999993,1,-0.5415,0.5415,0.43000000000000005,-0.11037499999999999,4,0.15037499999999998,4,-0.225375,4,0.32537499999999997,4,0.17500000000000002,4,0,0,0,0,0
